Audio ID,output transcriptions 1,output transcriptions 2,flipkart transcriptions 1,error 1,error 2,final word error rate
0,हाँ हाँ हाँ अभी कॉल में बड़ा दी शर्ट डाल दो काट में,हाँ हाँ हाँ अभी काल में बड़ा दी शर्ट डाल दो काट में,@ _ बेकार में बड़ा _ @ टी शर्ट डाल दो कार्ट में,0.7777777777777778,0.7777777777777778,0.7777777777777778
1,स्टॉप में फिटनेस बैंड चाहिए था ना,स्टॉप में फिटनेस बैंड चाहिए था तो टॉक,@ सात नहीं _ @ फिटनेस बैंड चाहिए था @ पुरे नॉ नॉ @,0.5555555555555556,0.5555555555555556,0.5555555555555556
2,मेल कटर नेलकटर नेल कटर्स,मेल कटर नेल कटर नेल कटर्स,@ _ ढूंढो @ नेलकटर नेलकटर नेलकटर @ _ @,1.0,1.5,1.0
3,माइक्रो डू यू हैव माईक्रोफिनेंस होगा है,माइक्रोन डू यू हैव माईक्रोफिनेंस होगा है,माइक्रो ओवन डू यू हैव माइक्रो ओवन @ माइक्रो ओवन माइक्रो ओवन होगा @,0.5714285714285714,0.7142857142857143,0.5714285714285714
4,पतंजलि का दंत कांति मिलेगा क्या,पतंजलि का दांत कांति मिलेगा क्या, पतंजलि का @ _ @ दंत कांति मिलेगा क्या @ _ @,0.0,0.16666666666666666,0.0
5,चप्पल अच्छा वाला,चप्पलो अच्छा वाला,@ _  @ चप्पल @ _ @ अच्छा वाला @ _ @,0.0,0.3333333333333333,0.0
6,इन फिनिक्स हार्ट मोबाइल फोर जीबी सिक्सटी फोर जीबी,इन फीनिक्स हार्ट मोबाइल फोर जीबी सिक्सटी फोर जीबी,@ _ @ इनफिनिक्स @ _ @ हॉट मोबाइल @ _ @ फोर जी बी @ _ @ सिक्सटी फोर जी बी @ _ @,0.7,0.7,0.7
7,व्हाट इज द सर,व्हाट इज द पाथ,@ _ @ व्हाट इज द प्राइस ऑफ आईफोन एक्स आर @ _  @,0.625,0.625,0.625
8,लॉन्ग स्कर्ट्स फॉर वूमेन अनदर टू थाउजेंड रूपीज,लॉन्ग स्कर्ट्स फॉर वूमेन अंडर टू थाउजेंड रूपीज, लॉन्ग स्कर्ट्स फॉर वूमैन अंडर टू थाउजेंड रूपीज ,0.25,0.125,0.125
9,में डी ऑर ग्रांट्स कितने में मिलेंगे,मेन डी ऑर ग्रांट्स कितने में मिलेंगे,@ _ @ मेन डियोड्रेंट्स कितने में मिलेंगे,0.8,0.6,0.6
